Address,Lat,Lon
"256 ST & CRAFT AVE, New York, NY 11422",40.650509,-73.733084
"AVENUE K & E 94 ST, New York, NY 11236",40.638815,-73.899403
"FARRAGUT RD & EAST 46 ST, New York, NY 11203",40.637217,-73.93273
"WILLOUGHBY & CLERMONT AVES, New York, NY 11205",40.691613,-73.970557
"BROADWAY & 72 ST, New York, NY 10023",40.778794,-73.982068
"17 AVE & 65 ST, New York, NY 11204",40.620509,-73.992466
"FRANKLIN ST & MILTON ST, New York, NY 11222",40.729165,-73.957469
"POWELL BLVD & W 112 ST, New York, NY 10026",40.800635,-73.954323
"AVENUE D & BROOKLYN AVE, New York, NY 11203",40.641309,-73.942748
"AVENUE C & E 8 ST, New York, NY 11218",40.641188,-73.97119
"13 AVE & 46 ST, New York, NY NA",40.636705,-73.990373
"48 AVE & 42 ST, New York, NY 11104",40.739749,-73.923174
"HEALEY AVE & BAY 25 ST, New York, NY 11691",40.604635,-73.76359
"GLENWOOD RD & E 105 ST, New York, NY 11236",40.649199,-73.89599
